Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00        9     0.00     0.00  std::_Vector_base<std::shared_ptr<Account>, std::allocator<std::shared_ptr<Account> > >::_M_get_Tp_allocator()
  0.00      0.00     0.00        9     0.00     0.00  std::__shared_ptr<User, (__gnu_cxx::_Lock_policy)2>::__shared_ptr(std::__shared_ptr<User, (__gnu_cxx::_Lock_policy)2>&&)
  0.00      0.00     0.00        9     0.00     0.00  std::allocator_traits<std::allocator<std::shared_ptr<Group> > >::deallocate(std::allocator<std::shared_ptr<Group> >&, std::shared_ptr<Group>*, unsigned long)
  0.00      0.00     0.00        9     0.00     0.00  std::allocator_traits<std::allocator<std::shared_ptr<Group> > >::allocate(std::allocator<std::shared_ptr<Group> >&, unsigned long)
  0.00      0.00     0.00        9     0.00     0.00  std::_Sp_counted_ptr_inplace<Group, std::allocator<Group>, (__gnu_cxx::_Lock_policy)2>::_M_ptr()
  0.00      0.00     0.00        9     0.00     0.00  std::_Sp_counted_ptr_inplace<Account, std::allocator<Account>, (__gnu_cxx::_Lock_policy)2>::_M_ptr()
  0.00      0.00     0.00        9     0.00     0.00  std::_Rb_tree<std::shared_ptr<User>, std::pair<std::shared_ptr<User> const, std::shared_ptr<Account> >, std::_Select1st<std::pair<std::shared_ptr<User> const, std::shared_ptr<Account> > >, std::less<std::shared_ptr<User> >, std::allocator<std::pair<std::shared_ptr<User> const, std::shared_ptr<Account> > > >::_M_begin()
  0.00      0.00     0.00        9     0.00     0.00  std::_Rb_tree<std::shared_ptr<User>, std::pair<std::shared_ptr<User> const, std::shared_ptr<Account> >, std::_Select1st<std::pair<std::shared_ptr<User> const, std::shared_ptr<Account> > >, std::less<std::shared_ptr<User> >, std::allocator<std::pair<std::shared_ptr<User> const, std::shared_ptr<Account> > > >::_S_right(std::_Rb_tree_node_base*)
  0.00      0.00     0.00        9     0.00     0.00  std::remove_reference<Account*&>::type&& std::move<Account*&>(Account*&)
  0.00      0.00     0.00        9     0.00     0.00  void std::_Destroy<std::shared_ptr<User> >(std::shared_ptr<User>*)
  0.00      0.00     0.00        9     0.00     0.00  void std::_Destroy<std::shared_ptr<Group> >(std::shared_ptr<Group>*)
  0.00      0.00     0.00        9     0.00     0.00  bool std::operator==<std::shared_ptr<User>*>(std::move_iterator<std::shared_ptr<User>*> const&, std::move_iterator<std::shared_ptr<User>*> const&)
  0.00      0.00     0.00        9     0.00     0.00  bool std::operator!=<std::shared_ptr<User>*>(std::move_iterator<std::shared_ptr<User>*> const&, std::move_iterator<std::shared_ptr<User>*> const&)
  0.00      0.00     0.00        8     0.00     0.00  __gnu_cxx::new_allocator<Transaction>::new_allocator(__gnu_cxx::new_allocator<Transaction> const&)
  0.00      0.00     0.00        8     0.00     0.00  __gnu_cxx::new_allocator<std::shared_ptr<User> >::new_allocator(__gnu_cxx::new_allocator<std::shared_ptr<User> > const&)
  0.00      0.00     0.00        8     0.00     0.00  __gnu_cxx::new_allocator<std::shared_ptr<Account> >::new_allocator(__gnu_cxx::new_allocator<std::shared_ptr<Account> > const&)
  0.00      0.00     0.00        8     0.00     0.00  __gnu_cxx::__normal_iterator<User*, std::vector<User, std::allocator<User> > >::__normal_iterator(User* const&)
  0.00      0.00     0.00        8     0.00     0.00  __gnu_cxx::__normal_iterator<Transaction const*, std::vector<Transaction, std::allocator<Transaction> > >::__normal_iterator(Transaction const* const&)
  0.00      0.00     0.00        8     0.00     0.00  __gnu_cxx::__normal_iterator<std::shared_ptr<User> const*, std::vector<std::shared_ptr<User>, std::allocator<std::shared_ptr<User> > > >::__normal_iterator(std::shared_ptr<User> const* const&)
  0.00      0.00     0.00        8     0.00     0.00  __gnu_cxx::__normal_iterator<std::shared_ptr<Account> const*, std::vector<std::shared_ptr<Account>, std::allocator<std::shared_ptr<Account> > > >::__normal_iterator(std::shared_ptr<Account> const* const&)
  0.00      0.00     0.00        8     0.00     0.00  __gnu_cxx::__normal_iterator<std::shared_ptr<Group>*, std::vector<std::shared_ptr<Group>, std::allocator<std::shared_ptr<Group> > > >::__normal_iterator(std::shared_ptr<Group>* const&)
  0.00      0.00     0.00        8     0.00     0.00  Group::getName[abi:cxx11]() const
  0.00      0.00     0.00        8     0.00     0.00  __gnu_cxx::__normal_iterator<Transaction const*, std::vector<Transaction, std::allocator<Transaction> > >::base() const
